time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-10 00:00:00+00:00,23.0,3.0,117.0,5.0
2023-11-11 00:00:00+00:00,1.0,1.0,,
2023-11-12 00:00:00+00:00,1.0,1.0,,
2023-11-13 00:00:00+00:00,7.0,3.0,,
2023-11-14 00:00:00+00:00,2.0,2.0,22.0,7.0
2023-11-15 00:00:00+00:00,1.0,1.0,29.0,6.0
2023-11-16 00:00:00+00:00,71.0,3.0,109.0,6.0
2023-11-17 00:00:00+00:00,1.0,1.0,26.0,3.0
2023-11-18 00:00:00+00:00,1.0,1.0,91.0,1.0
2023-11-19 00:00:00+00:00,1.0,1.0,1.0,1.0
2023-11-20 00:00:00+00:00,16.0,6.0,62.0,5.0
2023-11-21 00:00:00+00:00,1.0,1.0,32.0,4.0
2023-11-22 00:00:00+00:00,1.0,1.0,13.0,4.0
2023-11-23 00:00:00+00:00,,,6.0,2.0
