time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-29 00:00:00+00:00,12,3,2.0,2.0
2023-09-30 00:00:00+00:00,1,1,,
2023-10-01 00:00:00+00:00,4,2,,
2023-10-02 00:00:00+00:00,3,2,1.0,1.0
2023-10-03 00:00:00+00:00,1,1,31.0,1.0
2023-10-04 00:00:00+00:00,8,2,3.0,3.0
2023-10-05 00:00:00+00:00,4,2,59.0,3.0
2023-10-06 00:00:00+00:00,4,2,3.0,2.0
2023-10-07 00:00:00+00:00,1,1,,
2023-10-08 00:00:00+00:00,1,1,,
2023-10-09 00:00:00+00:00,6,4,12.0,2.0
2023-10-10 00:00:00+00:00,1,1,1.0,1.0
2023-10-11 00:00:00+00:00,9,2,1.0,1.0
2023-10-12 00:00:00+00:00,1,1,,
