time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-07 00:00:00+00:00,1,1,23.0,10.0
2023-11-08 00:00:00+00:00,1,1,15.0,7.0
2023-11-09 00:00:00+00:00,1,1,13.0,4.0
2023-11-10 00:00:00+00:00,23,3,117.0,5.0
2023-11-11 00:00:00+00:00,1,1,,
2023-11-12 00:00:00+00:00,1,1,,
2023-11-13 00:00:00+00:00,7,3,,
2023-11-14 00:00:00+00:00,2,2,22.0,7.0
2023-11-15 00:00:00+00:00,1,1,29.0,6.0
2023-11-16 00:00:00+00:00,71,3,109.0,6.0
2023-11-17 00:00:00+00:00,1,1,26.0,3.0
2023-11-18 00:00:00+00:00,1,1,91.0,1.0
2023-11-19 00:00:00+00:00,1,1,1.0,1.0
2023-11-20 00:00:00+00:00,15,5,62.0,5.0
