time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-12 00:00:00+00:00,3,2,1.0,1.0
2023-01-13 00:00:00+00:00,1,1,,
2023-01-14 00:00:00+00:00,2,2,,
2023-01-15 00:00:00+00:00,2,2,,
2023-01-16 00:00:00+00:00,3,2,6.0,1.0
2023-01-17 00:00:00+00:00,1,1,12.0,3.0
2023-01-18 00:00:00+00:00,1,1,,
2023-01-19 00:00:00+00:00,2,2,,
2023-01-20 00:00:00+00:00,7,2,31.0,3.0
2023-01-21 00:00:00+00:00,1,1,,
2023-01-22 00:00:00+00:00,1,1,,
2023-01-23 00:00:00+00:00,53,3,8.0,4.0
2023-01-24 00:00:00+00:00,4,2,,
