time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-12 00:00:00+00:00,1,1,49.0,5.0
2023-12-13 00:00:00+00:00,7,4,18.0,3.0
2023-12-14 00:00:00+00:00,2,2,9.0,5.0
2023-12-15 00:00:00+00:00,3,2,15.0,2.0
2023-12-16 00:00:00+00:00,1,1,1.0,1.0
2023-12-17 00:00:00+00:00,1,1,4.0,3.0
2023-12-18 00:00:00+00:00,5,3,36.0,6.0
2023-12-19 00:00:00+00:00,1,1,5.0,3.0
2023-12-20 00:00:00+00:00,1,1,16.0,5.0
2023-12-21 00:00:00+00:00,1,1,23.0,4.0
2023-12-22 00:00:00+00:00,1,1,1.0,1.0
2023-12-23 00:00:00+00:00,2,2,,
2023-12-24 00:00:00+00:00,1,1,1.0,1.0
2023-12-25 00:00:00+00:00,3,2,41.0,3.0
