time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-26 00:00:00+00:00,69.0,4.0,56.0,4.0
2024-02-27 00:00:00+00:00,2.0,2.0,65.0,5.0
2024-02-28 00:00:00+00:00,1.0,1.0,49.0,3.0
2024-02-29 00:00:00+00:00,97.0,4.0,91.0,7.0
2024-03-01 00:00:00+00:00,97.0,4.0,54.0,7.0
2024-03-02 00:00:00+00:00,154.0,3.0,44.0,2.0
2024-03-03 00:00:00+00:00,1.0,1.0,,
2024-03-04 00:00:00+00:00,45.0,4.0,43.0,3.0
2024-03-05 00:00:00+00:00,2.0,2.0,36.0,6.0
2024-03-06 00:00:00+00:00,125.0,3.0,126.0,6.0
2024-03-07 00:00:00+00:00,2.0,2.0,10.0,6.0
2024-03-08 00:00:00+00:00,1.0,1.0,3.0,2.0
2024-03-09 00:00:00+00:00,2.0,2.0,,
2024-03-10 00:00:00+00:00,,,1.0,1.0
