time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-22 00:00:00+00:00,3,2,2.0,2.0
2024-01-23 00:00:00+00:00,1,1,22.0,3.0
2024-01-24 00:00:00+00:00,1,1,2.0,2.0
2024-01-25 00:00:00+00:00,5,2,10.0,3.0
2024-01-26 00:00:00+00:00,1,1,8.0,2.0
2024-01-27 00:00:00+00:00,1,1,,
2024-01-28 00:00:00+00:00,1,1,,
2024-01-29 00:00:00+00:00,3,2,2.0,2.0
2024-01-30 00:00:00+00:00,2,2,18.0,2.0
2024-01-31 00:00:00+00:00,1,1,16.0,2.0
2024-02-01 00:00:00+00:00,2,2,4.0,3.0
2024-02-02 00:00:00+00:00,25,2,99.0,3.0
2024-02-03 00:00:00+00:00,129,4,145.0,1.0
2024-02-04 00:00:00+00:00,13,3,17.0,4.0
