time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-04 00:00:00+00:00,45.0,4.0,43.0,3.0
2024-03-05 00:00:00+00:00,2.0,2.0,36.0,6.0
2024-03-06 00:00:00+00:00,125.0,3.0,126.0,6.0
2024-03-07 00:00:00+00:00,2.0,2.0,10.0,6.0
2024-03-08 00:00:00+00:00,1.0,1.0,3.0,2.0
2024-03-09 00:00:00+00:00,2.0,2.0,,
2024-03-10 00:00:00+00:00,1.0,1.0,1.0,1.0
2024-03-11 00:00:00+00:00,5.0,4.0,20.0,4.0
2024-03-12 00:00:00+00:00,2.0,2.0,29.0,3.0
2024-03-13 00:00:00+00:00,1.0,1.0,4.0,4.0
2024-03-14 00:00:00+00:00,32.0,2.0,15.0,2.0
2024-03-15 00:00:00+00:00,2.0,2.0,36.0,7.0
2024-03-16 00:00:00+00:00,1.0,1.0,6.0,2.0
2024-03-17 00:00:00+00:00,,,32.0,1.0
