time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-05 00:00:00+00:00,258.0,4.0,277.0,6.0
2024-02-06 00:00:00+00:00,155.0,5.0,179.0,9.0
2024-02-07 00:00:00+00:00,156.0,5.0,71.0,9.0
2024-02-08 00:00:00+00:00,33.0,3.0,21.0,7.0
2024-02-09 00:00:00+00:00,1.0,1.0,92.0,3.0
2024-02-10 00:00:00+00:00,1.0,1.0,,
2024-02-11 00:00:00+00:00,1.0,1.0,8.0,2.0
2024-02-12 00:00:00+00:00,3.0,2.0,2.0,2.0
2024-02-13 00:00:00+00:00,1.0,1.0,17.0,3.0
2024-02-14 00:00:00+00:00,2.0,2.0,4.0,1.0
2024-02-15 00:00:00+00:00,18.0,2.0,13.0,2.0
2024-02-16 00:00:00+00:00,1.0,1.0,,
2024-02-17 00:00:00+00:00,1.0,1.0,,
2024-02-18 00:00:00+00:00,,,21.0,1.0
