time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-11-30 00:00:00+00:00,0,0,1,1
2022-12-01 00:00:00+00:00,0,0,3,3
2022-12-02 00:00:00+00:00,0,0,3,2
2022-12-05 00:00:00+00:00,1,1,9,9
2022-12-06 00:00:00+00:00,2,1,2,2
2022-12-07 00:00:00+00:00,4,2,9,6
2022-12-13 00:00:00+00:00,0,0,16,2
2022-12-14 00:00:00+00:00,4,2,0,0
